file,task_id,workspace,bobcoins,task_title,source_capture,sha256,note
Kit-Triv_task01_implement_the_requirements_in_build_requirements_summary.png,eb6b50d0ec277dd327be743445af7e61,secreview-bob,0.160,"Implement the requirements in BUILD_REQUIREMENTS.md in this workspace. Write the file at the exact path specified, standard library only. Then run the file self-test and report its exit status and the files you created.",Screenshot 2026-09-25 184915.png,b6b63b4b1bd3d0cb20d4295e5a05a4d6f77d765c588783e87b56adaf7d255fd4,
Kit-Triv_task02_create_src_chunk_py_exactly_to_summary.png,c8d94f3a0f3058bce8097587f07d595d,secreview-bob,0.493,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: create src/chunk.py exactly to that specification. Then run python src/chunk.py and confirm it exits 0. Reply with the file path, the full self-test output, and the exit code.",Screenshot 2026-09-25 184954.png,eb64dafb56e2f032f71290ae4bfd6f4e3a6be1cd4c51a1f1505d1dbd2acc4c4c,
Kit-Triv_task03_both_fixes_then_tests_arms_py_summary.png,04b1a187b1eca7e0d69656ad6880fcac,secreview-bob,1.10,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only. Both fixes, then tests/arms.py, then the PROOF OBLIGATION. Reply with: the files changed, and for each of the four proof commands its exact stdout and its exit code.",Screenshot 2026-09-25 185028.png,5bd1d9f6c8e4ab76cc40bd60ff98bf8756a9541b4ae1258dc831b19ec2b7d90b,
Kit-Triv_task04_src_review_py_the_scanresult_fields_summary.png,b203ea311377ba8ac6ee40d48f2d7375,secreview-bob,2.24,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: src/review.py, the ScanResult fields in src/findings.py, ARM-3 in tests/arms.py, and then the PROOF OBLIGATION. Reply with the files changed, the self-test result, and for each proof command its stdout and exit code.",Screenshot 2026-09-25 185059.png,05c49f4f46c3414637d4b7ce3cb12d37eb68ca0fa492f891b7d95904bedd53d5,
Kit-Triv_task05_parts_a_to_e_then_the_summary.png,35bdb65ed4d6707f87446f911891896b,secreview-bob,2.84,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: parts A to E, then the PROOF OBLIGATION with all three mutants. Reply with the files changed, each self-test result, and for every proof command its stdout and exit code.",Screenshot 2026-09-25 185134.png,621f637be2eb4e1674e42b0abc05bba4ce5675d45bf8fa156981a72208aa4e20,
Kit-Triv_task06_parts_a_to_d_then_the_summary.png,f7ecb1aaa148258ea1f6fdf59ca07cad,secreview-bob,2.87,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: parts A to D, then the PROOF OBLIGATION with its forward mutant. Reply with the files changed, the five arm results before and after, and for every proof command its stdout and exit code. State which arms moved and which did not, and name any mutant you did NOT run.",Screenshot 2026-09-25 182441.png,579846d970eea8f4887c5cf18d629ee55a3ffd54462686ee8e346ee6ce54699f,canonical of 3
Kit-Triv_task07_src_prove_bites_py_and_arm_summary.png,b470f3fdbf6cfeb6f6f0f15baf459515,secreview-bob,3.49,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: src/prove_bites.py and ARM-4, then the PROOF OBLIGATION with BOTH mutants. Reply with the files changed, the self-test result, and for every proof command its stdout and exit code. If you run only one mutant, name the one you did not run.",Screenshot 2026-09-25 185419.png,f9587fe02fed299503a4f4d35e935eec35e46e2c09f6792eaa405c961578d378,9/9 all tasks completed
Kit-Triv_task08_parts_a_and_b_in_tests_summary.png,05abfc3060bbd8786e5498f47fd6a775,secreview-bob,2.59,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: parts A and B in tests/arms.py, then the PROOF OBLIGATION with the contamination refusal, the declared mutant, and the chunks_failed mutant. Reply with the file changed and for every proof command its stdout and exit code.",Screenshot 2026-09-25 192832.png,511e2e4659504c8c8e6a2544d038c4a9f6b83778f329cff3de98325359f37851,
Kit-Triv_task09_parts_a_to_e_reply_with_summary.png,0482d84e141a5e58cf2f01a36de4650a,secreview-bob,4.11,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: parts A to E. Reply with the files changed, the measured twin_ratio values and the floor you chose, the self-test result, and for each proof command its stdout and exit code.",Screenshot 2026-09-25 193519.png,d1e62fdd9ba1624987d567271b1f260877eb812587b5291319e82fe60a015bb1,the 4.11
Kit-Triv_task10_replace_the_fixed_floor_with_a_summary.png,281a371ee8b6deb5eabcf716b78bfd90,secreview-bob,4.07,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: replace the fixed floor with a self-generated baseline margin. Reply with the files changed, the measured ratios and the baseline you compare against, the self-test result, and every proof command with its exit code.",Screenshot 2026-09-25 185510.png,0dc09f45b41cc853ee0d6814906f27f9e5433ebd94c0103664a05d4993f0b80e,
Kit-Triv_task11_replace_the_rearrangement_so_it_cannot_summary.png,4b3938a9b4a6fdb9d1d8b4e1f29538a9,secreview-bob,4.01,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: replace the rearrangement so it cannot be the identity, and add the regression test. Reply with the files changed, the sorted-source baseline before and after, and every proof command with its exit code.",Screenshot 2026-09-25 192949.png,ac9ae5f78621eed235590b6fc99d6a2f70a84d56e7f3e2ae9a18124baad2d332,
Kit-Triv_task12_src_report_py_and_arm_5_summary.png,22b0e21736f538910bc5c6af2a8b3f4b,secreview-bob,4.07,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: src/report.py and ARM-5, then the PROOF OBLIGATION. src/bob_client.py is already present. Reply with the file created, the self-test result, one fake-client CLI invocation and its full output, and every proof command with its exit code.",Screenshot 2026-09-25 192532.png,76f76f9cd95b9f788f21e606855dda57601b10da39be1c08d0f20c32c1ad3fdf,2 more copies in Screenshots/ parent
Kit-Triv_task13_src_report_py_and_arm_5_1ae7_summary.png,1ae7ef28ac840b137cbd8e497fc40ac4,secreview-bob,2.63,"Read BUILD_REQUIREMENTS.md in this workspace. Implement the ACTIVE increment only: src/report.py and ARM-5, then the PROOF OBLIGATION. src/bob_client.py is already present. Reply with the file created, the self-test result, one real fake-client CLI invocation and its output, and every proof command with its exit code.",Screenshot 2026-09-25 185634.png,eb6247eeab78cf4eb88928d5dcd5dda8eda035b5ea4e9eec7aa7e73dc37705d5,
